주소,면적,금액,월세,타입,위도 ,경도
충청북도 청주시 서원구 모충동 서원남로70번길,65,10000,0,단독다가구(전월세),36.6227109,127.4799602
충청북도 청주시 서원구 성화동 구룡산로51번라길,28.12,300,33,단독다가구(전월세),36.6153687,127.4525037
충청북도 청주시 서원구 수곡동 구룡산로 319,39.3,9500,0,아파트(매매),36.6200079,127.4801332
충청북도 청주시 서원구 남이면 가마리 2순환로 1717,84.9476,35000,0,아파트(매매),36.5983248,127.4693229
충청북도 청주시 서원구 분평동 1순환로1137번길 80,49.76,11000,0,아파트(매매),36.6098375,127.4941707
충청북도 청주시 서원구 분평동 1순환로1137번길 19,84.34,27000,0,아파트(매매),36.6074206,127.4916552
충청북도 청주시 서원구 성화동 장전로 51,130.59,43300,0,아파트(매매),36.6182316,127.4536045
충청북도 청주시 서원구 사직동 창직로 50,84.4,28900,0,아파트(매매),36.6296746,127.4668128
충청북도 청주시 서원구 개신동 모충로3번길 81,32,5700,0,아파트(매매),36.6282108,127.4629703
충청북도 청주시 서원구 수곡동 구룡산로 319,47.01,6300,0,아파트(전월세),36.6200079,127.4801332
충청북도 청주시 서원구 모충동 쌍샘로 22,59.76,25200,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 분평동 1순환로1137번길 129,49.77,10000,0,아파트(전월세),36.6120152,127.4913332
충청북도 청주시 서원구 개신동 복대로17번길 27,57.991,13000,0,아파트(전월세),36.6179245,127.4452763
충청북도 청주시 서원구 수곡동 구룡산로 275-13,38.64,500,40,아파트(전월세),36.6195057,127.4745619
충청북도 청주시 서원구 사창동 1순환로 642,31.8,4050,0,오피스텔(매매),36.6361972,127.4592437
충청북도 청주시 청원구 율량동 율봉로262번길,43.03,500,55,단독다가구(전월세),36.6661875,127.4977649
충청북도 청주시 청원구 율량동 율중로16번길,25.76,500,58,단독다가구(전월세),36.6600734,127.505057
충청북도 청주시 청원구 오창읍 구룡리 구룡택지로,45,5000,0,단독다가구(전월세),36.7106181,127.4130504
충청북도 청주시 청원구 오창읍 구룡리 구룡2길,35,200,51,단독다가구(전월세),36.7111939,127.4126339
충청북도 청주시 청원구 오창읍 각리 오창공원로 96,84.9801,52500,0,아파트(매매),36.7131077,127.4225889
충청북도 청주시 청원구 오창읍 각리 오창중앙로 83,119.3059,30000,0,아파트(매매),36.7061317,127.4197658
충청북도 청주시 청원구 오창읍 각리 오창중앙로 65,122.6368,39700,0,아파트(매매),36.7052817,127.423303
충청북도 청주시 청원구 오창읍 각리 오창중앙로 65,59.9101,21500,0,아파트(매매),36.7052817,127.423303
충청북도 청주시 청원구 오창읍 각리 오창중앙로 32,84.6881,25000,0,아파트(매매),36.7092307,127.4245797
충청북도 청주시 청원구 사천동 새터로176번길 62,43.4,7700,0,아파트(매매),36.6654473,127.4746522
충청북도 청주시 청원구 주성동 율량로 119,84.9768,39500,0,아파트(매매),36.6727921,127.499608
충청북도 청주시 청원구 내수읍 은곡리 은곡4길 6,39.78,3600,0,아파트(매매),36.7178888,127.5292312
충청북도 청주시 청원구 율량동 율봉로201번길 34,32.76,6000,0,아파트(매매),36.6699772,127.4922574
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,3223,38,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 율량동 율중로7번길 77,36.86,3304,8,아파트(전월세),36.6607832,127.511004
충청북도 청주시 청원구 주성동 율량로 119,84.9788,35000,0,아파트(전월세),36.6727921,127.499608
충청북도 청주시 청원구 오창읍 주성리 2산단로 125,57.7554,12567,0,아파트(전월세),36.7341863,127.4497485
충청북도 청주시 청원구 오창읍 각리 오창중앙로 32,84.6881,20000,0,아파트(전월세),36.7092307,127.4245797
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.8216,8538,33,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 20,82.7462,16542,0,아파트(전월세),36.7352692,127.448001
충청북도 청주시 청원구 오창읍 주성리 2산단4로 60,57.7554,12357,0,아파트(전월세),36.7372588,127.4508094
충청북도 청주시 청원구 오창읍 주성리 2산단로 151,82.8216,5335,46,아파트(전월세),36.7354987,127.4511016
충청북도 청주시 흥덕구 봉명동 덕암로107번길,23.1,200,30,단독다가구(전월세),36.650422,127.4642827
충청북도 청주시 흥덕구 복대동 죽천로131번길,30,300,37,단독다가구(전월세),36.638828,127.437052
충청북도 청주시 흥덕구 비하동 비하로45번길,36.36,500,50,단독다가구(전월세),36.6310557,127.4234163
충청북도 청주시 흥덕구 봉명동 직지대로581번길 33-12,39.72,10500,0,아파트(매매),36.6460097,127.4565972
충청북도 청주시 흥덕구 복대동 죽천로143번길 19,59.6443,15800,0,아파트(매매),36.6387673,127.4380391
충청북도 청주시 흥덕구 강서동 2순환로 1222,18.28,6700,0,아파트(매매),36.6176842,127.4208609
충청북도 청주시 흥덕구 비하동 2순환로1050번길 13-14,45.32,10000,0,아파트(매매),36.6402241,127.4207587
충청북도 청주시 흥덕구 가경동 가경로 26,59.92,17700,0,아파트(매매),36.6186491,127.4436184
충청북도 청주시 흥덕구 강서동 가로수로1164번길 41-44,22.464,6200,0,아파트(매매),36.6259179,127.4291547
충청북도 청주시 흥덕구 가경동 서현중로 47,84.9267,40000,0,아파트(매매),36.6223782,127.4277735
충청북도 청주시 흥덕구 송절동 송화로214번길 7,84.995,50000,0,아파트(매매),36.6694702,127.4576636
충청북도 청주시 흥덕구 가경동 가경로 71,134.88,32000,0,아파트(매매),36.6216995,127.4398995
충청북도 청주시 흥덕구 비하동 2순환로1050번길 39,59.9,12900,0,아파트(매매),36.639854,127.4193688
충청북도 청주시 흥덕구 가경동 가경로 26,59.92,20350,0,아파트(매매),36.6186491,127.4436184
충청북도 청주시 흥덕구 가경동 가경로 26,59.92,17000,0,아파트(전월세),36.6186491,127.4436184
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.8447,3000,88,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 봉명동 직지대로 551,27.7517,8144,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 봉명동 직지대로 551,27.7517,8144,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명7로 151,59.8447,27500,0,아파트(전월세),36.6223386,127.3184637
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 오송읍 봉산리 오송생명14로 283,84.9924,25500,0,아파트(전월세),36.6213379,127.3120193
충청북도 청주시 흥덕구 봉명동 직지대로 551,21.0286,6320,0,아파트(전월세),36.6484342,127.4582594
충청북도 청주시 흥덕구 복대동 대농로 55,80.002,2000,200,아파트(전월세),36.6430295,127.4291934
충청북도 청주시 흥덕구 비하동 비하로18번길 10,30,3700,0,오피스텔(매매),36.6288083,127.4259278
충청북도 청주시 흥덕구 강서동 2순환로 1222,22.08,300,45,오피스텔(전월세),36.6176842,127.4208609
충청북도 청주시 흥덕구 송절동 송화로108번길 75,36.12,100,75,오피스텔(전월세),36.6650235,127.4521924
충청북도 청주시 상당구 용암동 중고개로125번길,50.66,12000,0,단독다가구(전월세),36.6151168,127.5165679
충청북도 청주시 상당구 방서동 월운로58번길,123.76,21000,0,단독다가구(전월세),36.6040579,127.5172064
충청북도 청주시 상당구 대성동 용담로,58.07,11000,0,단독다가구(전월세),36.6346917,127.4972402
충청북도 청주시 상당구 대성동 용담로63번길 33,127.22,20500,0,아파트(매매),36.6333797,127.4988269
충청북도 청주시 상당구 금천동 쇠내로 48,84.6785,27000,0,아파트(전월세),36.6239062,127.5006205
충청북도 청주시 상당구 금천동 수영로 204,27.29,200,25,아파트(전월세),36.623029,127.5042882
충청북도 청주시 서원구 수곡동 서원남로19번길,22.64,770,4,단독다가구(전월세),36.6206203,127.4844962
충청북도 청주시 서원구 모충동 구룡산로375번길,21,200,38,단독다가구(전월세),36.6211896,127.4868358
충청북도 청주시 서원구 남이면 석판리 대림로,33,500,50,단독다가구(전월세),36.6061698,127.4418071
충청북도 청주시 서원구 사직동 예체로 68,84.4,33000,0,아파트(매매),36.6320742,127.4702659
충청북도 청주시 서원구 개신동 신율로 71,38.52,5300,0,아파트(전월세),36.6242071,127.4466793
충청북도 청주시 서원구 분평동 1순환로1137번길 130,49.77,9700,0,아파트(전월세),36.6126277,127.4941736
충청북도 청주시 서원구 개신동 복대로17번길 23,24.12,300,35,아파트(전월세),36.6181734,127.4452302
충청북도 청주시 서원구 모충동 쌍샘로 22,74.77,27000,0,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 쌍샘로 22,51.9,10077,17,아파트(전월세),36.6276735,127.4803989
충청북도 청주시 서원구 모충동 남들로35번길 61,41.82,500,40,아파트(전월세),36.6213749,127.4808332
충청북도 청주시 서원구 분평동 분평로 49,59.7254,16500,0,아파트(전월세),36.6098701,127.4913384
충청북도 청주시 서원구 개신동 경신로 68,59.42,2000,70,아파트(전월세),36.620993,127.4493921
충청북도 청주시 서원구 수곡동 매봉로76번길 18,68.31,7000,20,아파트(전월세),36.6166063,127.4789376
