"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","충청북도 청주시 흥덕구 오송읍 서평리","6**","단독","8m미만","68.71","284.00","202511","03","13,000","개인","개인","","서평길","-","직거래","-"
"2","충청북도 청주시 흥덕구 봉명동","6**","단독","8m미만","187.74","143.90","202510","31","24,500","개인","개인","1992","직지대로693번길","-","중개거래","충북 청주시 청원구"
"3","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","248.66","221.60","202510","28","34,000","개인","개인","1990","천석로36번길","-","중개거래","충북 청주시 흥덕구"
"4","충청북도 청주시 흥덕구 봉명동","9**","다가구","25m미만","708.73","326.10","202510","24","136,000","개인","개인","2019","봉명로","-","중개거래","충북 청주시 흥덕구"
"5","충청북도 청주시 흥덕구 옥산면 오산리","1**","단독","25m미만","99.72","330.00","202510","24","18,570","개인","개인","2008","오산3길","-","중개거래","충북 청주시 흥덕구"
"6","충청북도 청주시 흥덕구 봉명동","2**","단독","8m미만","132.60","212.50","202510","24","19,000","개인","개인","1984","월명로35번길","-","중개거래","충북 청주시 흥덕구"
"7","충청북도 청주시 흥덕구 봉명동","5**","다가구","12m미만","653.62","321.00","202510","22","150,000","개인","개인","2016","1순환로535번길","-","중개거래","충북 청주시 흥덕구"
"8","충청북도 청주시 흥덕구 봉명동","1***","단독","12m미만","165.69","194.80","202510","20","28,700","개인","개인","1987","과상미로9번길","-","중개거래","충북 청주시 흥덕구"
"9","충청북도 청주시 흥덕구 복대동","1***","단독","12m미만","195.81","206.50","202510","20","26,500","개인","개인","1990","풍산로128번길","-","중개거래","충북 청주시 서원구, 충북 청주시 흥덕구"
"10","충청북도 청주시 흥덕구 복대동","7*","단독","25m미만","91.58","361.00","202510","17","20,950","개인","개인","1920","월명로35번길","-","직거래","-"
"11","충청북도 청주시 흥덕구 복대동","1***","단독","12m미만","287.51","242.20","202510","16","29,000","개인","개인","1990","신율로118번길","-","중개거래","충북 청주시 상당구"
"12","충청북도 청주시 흥덕구 가경동","2***","다가구","8m미만","352.55","212.60","202510","15","59,000","개인","개인","2010","서현중로32번길","-","중개거래","충북 청주시 흥덕구"
