id,policy_no,title,organizer,region,target_age,benefits,application_method,aply_url
20,20250903005400211614,청년월세 지원사업,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",19~34세,"○ (관련근거) 「청년기본법」제20조, 「주거기본법」제13조
○ (사업기간) 2022년 8월 ~ 2027년 12월
○ (지원내용) 실제 납부한 월세를 월 최대 20만원씩 최대 24개월 지원
  - (대상연령) 19~34세 이하 부모님과 별도 거주하는 무주택 청년
  - (지원요건) 청년가구 중위소득 60% 이하 & 재산 122백만원 이하이면서, 원가구 중위소득 100% 이하 & 재산 470만원 이하","(온라인)복지로, (방문신청)세종시청 청년정책담당관실
 ※ 복지로 온라인신청 경로: 복지로 로그인 > 서비스 신청 > 복지서비스 신청 > 복지급여 신청 > 기타 > 청년월세 한시 특별지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004661
23,20250903005400211608,기초청년 주거급여(임차급여),주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",19~30세,"○ (관련근거) 「국민기초생활보장법」제11조(주거급여),  「주거급여법」제7조의2(주거급여의 분리 지급)
○ (사업기간) 2021년 ~ 계속
○ (지원내용) 청년 주소지 기준임대료 상한으로 실제임차료 지급
  - (대상연령) 임차 또는 자가가구 내 만19세~30세 미만 미혼 청년
  ※ 청년가구원 연령 기준: 만 19세가 되는 해에 1월 1일을 맞이한 사람을 포함하고, 지급이 제외되는 만 30세의 경우에는 출생월을 적용
  - (임차계약) 청년명의의 임대차계약을 체결하고 임차료를 지불하는 청년에게 지급(전입신고필수)
  - (지원인원 수) 동일 시·군내 거주하는 2명 이상의 청년은 1명만 분리지급을 인정하되 기숙사·사택 등에 거주하는 경우는 모두 인정
  - (분리거주 공간적 기준) 주거급여 수급가구의 부모와 청년이 주민등록상 시·군을 달리하는 경우 인정하되, 동일 시·군이라도 보장기관이 인정하는 경우는 예외로 함

○ (지원절차)
  ① 청년주거급여 신청
     - 방문 신청(원가족 주소지 읍면동) / 온라인 신청(복지로 홈페이지)
   ② 주택조사
      - 방문, 서류심사(LH)
   ③ 지원대상 조사
      - 소득재산 등 자격요건 조사(시청 통합조사팀)
    ④ 보장결정 및 급여지급(시청 주택과)","- 신청권자 : 주거급여 수급가구의 가구원, 친족, 기타 관계인, 담당 공무원
※ 대리신청도 가능하나 위임장 필요, 담당 공무원 직권신청은 수급권자 동의 필요

- 신청방법 : 방문 신청(수급가구 내 가구주(부모)가 거주하는 읍·면·동 행정복지센터) 또는 온라인 신청(복지로(www.bokjiro.go.kr))",https://www.bokjiro.go.kr/
41,20250718005400211383,공공임대주택 공급,국토교통부,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~0세,사회초년생, 대학생, 신혼부부 등을 대상으로 공공주택 공급 확대를 통한 주거비 부담 완화로 무주택 서민의 주거안정 도모,ㅇ 입주자공고 → 신청접수 → 자격검증 및 소명 → 당첨자 발표 → 계약체결 및 입주,
74,20250618005400111008,도심융합특구 조성,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~0세,지방 광역시(5곳)에 도심융합특구를 조성하기 위하여 기본계획·실시계획 수립비 지원,신청 방법 없음,
75,20250618005400111006,공유주택 펀드투자,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~0세,도심 내 공유주택을 운영하거나 공유서비스를 제공하는 스타트업, 사회적 기업 등에 장기 자금지원을 위한 펀드 조성,신청 방법 없음,
76,20250618005400111005,주거포털 마이홈 개선,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~0세,마이홈포털 및 모바일 어플리케이션의 UI 등을 개선하여 사용 편의성을 증진하고 주거복지 정책에 대한 국민 접근성 제고,신청 방법 없음,
77,20250618005400111003,전세사기 피해 예방 및 지원 강화,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~0세,"전세사기피해자에게 경·공매 절차 및 조세 징수 등에 관한 특례를 부여하고, 저리·대환대출 등 금융지원, 우선매수권 양도를 통한 매입임대 등 주거지원 등을 제공함으로써 청년층의 주거 안정을 도모",신청 방법 없음,
78,20250617005400110952,미혼청년 주거급여 분리지급,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,충청북도,충청남도,전라남도,경상북도,경상남도",19~29세,"주거급여 수급가구원 중 취학,구직 등의 사유로 부모와 따로 거주하는 20대 미혼자녀에게 별도 주거급여 지급
(지원내용) 부모와 청년 각각의 거주지, 가구원수에 따라 산정한 기준임대료를 상한으로 실제 임차료를 지급하고, 자기부담분은 분리된 가구 각각의 가구원 수에 비례하여 적용","□ 읍면동 주민센터에 관련 상담 신청 → 신청서, 금융정보 등 제공 동의서, 임대차 계약서(해당자 한함) 등 기타 구비서류 안내받아 접수
□ 복지로 서비스신청을 통한 온라인신청 : 복지로 로그인 > 서비스 신청 > 복지서비스 신청 > 복지급여 신청 > 저소득층 > '주거급여' 또는 '청년주거급여분리지급'",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003201
79,20250514005400110811,청년 주택드림 디딤돌 대출,주관기관 없음,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",0~39세,"□ 대출금리 : 2.4% ~ 4.15%
□ 대출한도 : 다음 중 작은 금액으로 산정
  - 미혼 3억원, 신혼 4억원 이내(LTV 70%, 생애최초 주택구입자는 LTV 80%, DTI 60% 이내)
  - 분양가격 이내로 하되, 대출총액은 (본건 내집마련 디딤돌 대출 + 국민주택건설자금 + 중도금대출 + 기금대출)은 매매가격 초과 불가
  - 대출금액 = [(담보주택 평가액 × LTV) – 선순위채권 – 임대보증금 및 최우선변제소액임차보증금]
□ 대출기간 : 10년, 15년, 20년, 30년(연소득 4천만원 이하는 만기 40년 이용 가능)(거치 1년 또는 비거치)","□ 신청시기 : 소유권이전등기를 하기 전에 신청. 단, 소유권이전등기를 한 경우에는 이전등기 접수일로부터 3개월 이내까지 신청
□ 신청방법
  ○ 온라인 신청 : 기금e든든 홈페이지(https://enhuf.molit.go.kr)
    - 이용 가능 은행 : 우리, 신한, 국민, 농협, 하나은행
  ○ 은행 방문 신청 : 기금 수탁은행인 우리, 신한, 국민, 농협, 하나은행에서 가능
    - 이용 가능 지점은 은행 상황에 따라 다를 수 있습니다.",https://enhuf.molit.go.kr
98,20250226005400110565,청년주택드림청약통장,국토교통부,"서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,충청북도,충청남도,전라남도,경상북도,경상남도",19~34세,"□ 이자율: 최대 4.5%
□ 소득기준: 연 5,000만원(직전년도 신고소득이 있는 자 기준), 무주택자
□ 납입한도: 월 100만원
□ 납입금액의 40%까지 소득공제
□ 주택청약에 당첨된 경우 청년주택드림 대출 연계
  ㅇ 청년주택드림 청약통장 1년 이상 가입
  ㅇ 1,000만원 이상 납입
  ㅇ 당첨 시 분양가 80%까지 대출
  ㅇ 금리 최저 연 2.2%(만기, 소득별 차등) 최장 40년까지 지원(고정금리)
  ㅇ 6억 이하, 전용면적 85제곱미터 이하 주택
  ㅇ 생애주기별 금리 인하: 결혼 0.1%p 인하, 출산: 0.5%p 인하, 다자녀: 0.2%p 인하",신청 방법 없음,
