용어,초성,설명
가건물(假建物),ㄱ,가건물이란 건물로서의 구조나 형태 및 용도를 구비하지 못한 임시적인 구조물로서 그 해체가 용이한 상태의 구축물을 의미한다. 건축법에서는 가건물을 가설건축물이라고 표시하고 있다.
가격저감율(價格低減率),ㄱ,경매기일에 허가할 매수가격의 신고가 없는 때의 신경매에서 최저경매가격을 낮추는 비율을 의미한다. 일반적으로는 20%의 가격저감율을 적용하나 법원에 따라서는 30%의 가격저감율을 적용하는 경우도 있다. 기일변경의 경우나 또는 낙찰불허가에 의한 신입찰이나 재입찰시에는 가격저감을 하지 않는다.
가격형성요인(價格形成要因),ㄱ,가격형성요인이라 함은 부동산의 객관적인 가치에 영향을 미치는 지역요인 및 개별요인을 말한다.
"가공전선(架空電線, aerial coductor wire, overhead conductor) = 가공선(架空線)",ㄱ,"가공전선 또는 가공선이란 전주에 지지되어 공중에 설치된 전력 전송용 전선 및 전화선, CATV용 회선등을 의미한다."
"가구(家口, household)",ㄱ,"1인 또는 2인 이상의 가족이 모여 취사, 취침 등 생계를 같이 하는 단위를 말하며 일반가구와 집단가구로 구분된다(인구주택총조사 기준).
집단가구란 기숙사 등 집단시설에 거주하는 가구를 의미하며, 일반가구는 통상 가족 단위로 생활을 같이 하는 혈연가구(보통가구)와 비혈연가구, 1인(독신)가구로 나뉘어 지는데 현행 주택보급율에서는 일반가구 중에서 보통가구만을 대상으로 함으로써 전체 가구에서 상당 수를 차지하는 비혈연가구ㆍ1인가구ㆍ집단가구등은 배제되고 있다."
"가구주(家口主, household head)",ㄱ,"호주 또는 가구주와는 관계없이 그 가구를 실질적으로 대표하는 사람을 말하며, 혈연관계가 없는 사람이 2인 이상 함께 사는 경우에는 그 중 연장자 또는 대표자를 선정하여 가구주로 한다.(인구주택총조사)
호주 또는 가구주와는 관계없이 해당가구의 구성원으로서 그 가구의 생계를 책임지고 있으며, 또한 사실상 생계유지를 위한 비용을 조달하는 사람을 가구주로 한다.(도시가계조사)"
가등기(假登記),ㄱ,"가등기란 본등기를 하는 데 필요한 형식적 또는 실질적 요건이 완비되지 아니하였을 경우에 장래 실행될 본등기의 순위보전을 위해 해두는 등기를 말한다.
가등기는 부동산물권 및 그에 준하는 권리의 설정, 이전, 변경, 소멸의 청구권을 보전하기 위하여 미리 예비로 하는 등기이다. 장차 가등기를 근거로 본등기를 하면 그 대항력은 가등기 시점으로 소급하여 가등기 이후의 제3자의 본등기 보다 우선하게 된다. 다만, 가등기만으로는 제3자에 대항할 수 없다."
가등기담보(假登記擔保),ㄱ,"가등기담보라 함은 채권담보를 위하여 채권자와 채무자(또는 제3자)사이에서 채무자(또는 제3자)소유의 부동산을 목적물로 하는 대물변제예약 또는 매매예약을 하고, 동시에 채무자의 채무불이행이 있는 경우에 발생하게 될 장래의 소유권이전청구권을 보전하기 위하여 가등기를 하는 변칙담보를 말한다."
가등기담보등에관한법률(假登記擔保等에關한法律),ㄱ,차용물의 반환에 관하여 차주가 차용물에 갈음하여 다른 재산권을 이전할 것을 예약함에 있어서 그 재산의 예약당시의 가액이 차용액 및 이에 붙인 이자의 합산액을 초과하는 경우에 이에 따른 담보계약과 그 담보의 목적으로 경료된 가등기 또는 소유권이전등기의 효력을 정하기 위하여 1983년 12월 31일 제정하여 법률제3681호로 공포되었다. 이 법에서 규정한 담보가등기란 채권담보의 목적으로 경료된 가등기를 말한다(가등기담보등에관한법률 제2조제3호).
가로(街路),ㄱ,"도시내의 도로. 가로의 폭, 포장, 배치, 계통 등의 상태 등 가로조건(街路條件)은 부동산의 효용과 가격에 큰 영향을 미친다."
