"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 상당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청북도 청주시 상당구 용암동","2542","2542","0000","중흥마을부영(2542-0)","59.9870","202511","05","15,500","-","13","개인","개인","2003","중흥로 173","-","중개거래","충북 청주시 상당구","-"
"2","충청북도 청주시 상당구 용암동","3604","3604","0000","동남힐데스하임","84.8429","202511","05","38,700","-","22","개인","개인","2020","월운로 116","-","중개거래","충북 청주시 상당구","-"
"3","충청북도 청주시 상당구 금천동","270","0270","0000","장자마을현대(2단지)","84.8943","202511","04","21,000","-","7","개인","개인","2002","수영로 328","-","중개거래","충북 청주시 상당구","-"
"4","충청북도 청주시 상당구 용암동","2064","2064","0000","세원한아름","41.8500","202511","04","7,000","-","5","개인","개인","1994","무농정로 90","-","직거래","-","-"
"5","충청북도 청주시 상당구 용담동","467","0467","0000","우미린에듀파크2단지","84.9854","202511","04","39,900","-","23","개인","개인","2018","수영로 359","-","중개거래","충북 청주시 상당구, 충북 청주시 청원구","-"
"6","충청북도 청주시 상당구 금천동","311","0311","0000","장자마을부영그린타운2차","84.8612","202511","04","26,400","-","7","개인","개인","2005","수영로 294","-","중개거래","충북 청주시 상당구","-"
"7","충청북도 청주시 상당구 용암동","2099","2099","0000","건영","99.9600","202511","03","22,500","-","9","개인","개인","1999","중흥로 71","-","중개거래","충북 청주시 상당구","-"
"8","충청북도 청주시 상당구 금천동","199-1","0199","0001","현대","84.8400","202511","03","12,700","-","1","개인","개인","1992","중고개로337번길 23","-","중개거래","충북 청주시 상당구","-"
"9","충청북도 청주시 상당구 금천동","477","0477","0000","금천센트럴파크스타힐스","76.8775","202511","03","34,400","-","24","개인","개인","2020","쇠내로 48","-","중개거래","충북 청주시 상당구","-"
"10","충청북도 청주시 상당구 방서동","654","0654","0000","청주센트럴자이","84.7377","202511","03","45,700","-","14","개인","개인","2018","단재로 316","-","중개거래","충북 청주시 상당구","-"
"11","충청북도 청주시 상당구 용담동","423","0423","0000","부영E그린","84.9916","202511","03","23,000","-","6","개인","개인","2003","호미로 317","-","중개거래","충북 청주시 상당구","-"
"12","충청북도 청주시 상당구 용담동","421","0421","0000","세영첼시빌","157.0410","202511","03","34,000","-","13","개인","개인","2005","수영로 327","-","중개거래","충북 청주시 상당구","-"
"13","충청북도 청주시 상당구 금천동","50-3","0050","0003","경희","31.2000","202511","02","4,300","-","4","개인","개인","1997","꽃산동로 4-2","-","중개거래","충북 청주시 상당구","-"
"14","충청북도 청주시 상당구 용암동","3163","3163","0000","청주동남파라곤아파트","77.8325","202511","02","40,300","-","15","개인","개인","2022","중고개로 56","-","중개거래","충북 청주시 상당구","-"
"15","충청북도 청주시 상당구 금천동","199-1","0199","0001","현대","84.8400","202511","02","15,400","-","5","개인","개인","1992","중고개로337번길 23","-","중개거래","충북 청주시 상당구","-"
"16","충청북도 청주시 상당구 탑동","1","0001","0000","소망","64.1100","202511","01","8,700","-","2","개인","개인","1987","탑동로 85","-","중개거래","충북 청주시 상당구","-"
"17","충청북도 청주시 상당구 용암동","3147","3147","0000","시티프라디움2단지","84.9954","202511","01","43,500","-","7","개인","개인","2020","중고개로142번길 17","-","중개거래","충북 청주시 상당구","-"
"18","충청북도 청주시 상당구 용암동","3163","3163","0000","청주동남파라곤아파트","84.9455","202511","01","42,300","-","5","개인","개인","2022","중고개로 56","-","중개거래","충북 청주시 상당구","-"
"19","충청북도 청주시 상당구 용암동","2082","2082","0000","소라","59.7000","202511","01","13,000","-","8","개인","개인","1994","원봉로 21","-","중개거래","충북 청주시 상당구","-"
"20","충청북도 청주시 상당구 방서동","806","0806","0000","우미린풀하우스","84.9687","202511","01","44,300","-","23","개인","개인","2020","동남로 15","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"21","충청북도 청주시 상당구 용담동","423","0423","0000","부영E그린","84.9916","202511","01","22,000","-","13","개인","개인","2003","호미로 317","-","중개거래","충북 청주시 상당구","-"
"22","충청북도 청주시 상당구 방서동","100","0100","0000","세중참사랑","84.8700","202511","01","18,600","-","4","개인","개인","2001","무농정로2번길 66-34","-","중개거래","충북 청주시 상당구","-"
"23","충청북도 청주시 상당구 방서동","825","0825","0000","동남지구호반써밋브룩사이드","84.9481","202511","01","50,000","-","9","개인","개인","2023","동남로 2","-","중개거래","충북 청주시 상당구","-"
"24","충청북도 청주시 상당구 방서동","825","0825","0000","동남지구호반써밋브룩사이드","84.9481","202511","01","47,200","-","24","개인","개인","2023","동남로 2","-","중개거래","충북 청주시 상당구","-"
"25","충청북도 청주시 상당구 용정동","1116","1116","0000","청주용정한라비발디","84.9600","202511","01","39,300","-","14","개인","개인","2013","용정로 25","-","중개거래","충북 청주시 상당구","-"
"26","충청북도 청주시 상당구 금천동","50-3","0050","0003","경희","31.2000","202511","01","4,000","-","1","개인","개인","1997","꽃산동로 4-2","-","중개거래","충북 청주시 상당구","-"
"27","충청북도 청주시 상당구 대성동","5","0005","0000","우성","127.2200","202510","31","20,500","-","4","개인","개인","1991","용담로63번길 33","-","중개거래","충북 청주시 상당구","-"
"28","충청북도 청주시 상당구 용암동","2108","2108","0000","청주용암주공1단지아파트(해누리)","49.8000","202510","30","8,400","-","13","개인","개인","1994","원봉로 52","-","중개거래","충북 청주시 상당구","-"
"29","충청북도 청주시 상당구 금천동","317","0317","0000","장자마을부영(9단지)","59.2962","202510","30","17,000","-","12","개인","개인","2002","중고개로 286","-","중개거래","충북 청주시 상당구","-"
"30","충청북도 청주시 상당구 금천동","115-1","0115","0001","수정","59.8500","202510","30","6,000","-","5","개인","개인","1993","꽃산동로 40","-","중개거래","충북 청주시 상당구","-"
"31","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","84.9687","202510","30","49,500","-","25","개인","개인","2021","중고개로142번길 20","-","중개거래","충북 청주시 상당구","-"
"32","충청북도 청주시 상당구 방서동","806","0806","0000","우미린풀하우스","84.9687","202510","29","40,000","-","23","개인","개인","2020","동남로 15","-","중개거래","충북 청주시 서원구","-"
"33","충청북도 청주시 상당구 영운동","135-19","0135","0019","두산하이츠","22.9300","202510","29","2,600","-","8","개인","개인","1992","단재로95번길 40","-","중개거래","충북 청주시 상당구","-"
"34","충청북도 청주시 상당구 영운동","73-5","0073","0005","태암수정","38.7200","202510","29","4,500","-","2","개인","개인","1995","영운천로51번길 26","-","중개거래","충북 청주시 상당구","-"
"35","충청북도 청주시 상당구 미원면 미원리","560-14","0560","0014","통경","56.1200","202510","29","5,600","-","7","개인","개인","1992","단재로 2483-6","-","직거래","-","25.10.29"
"36","충청북도 청주시 상당구 용담동","436","0436","0000","가좌마을용담이-편한세상","167.5642","202510","29","43,000","-","6","개인","개인","2004","호미로 330","-","직거래","-","-"
"37","충청북도 청주시 상당구 금천동","275","0275","0000","장자마을부영(275-7단지)","48.3895","202510","29","12,400","-","12","개인","개인","2001","중고개로 288","-","중개거래","충북 청주시 상당구","-"
"38","충청북도 청주시 상당구 용암동","3147","3147","0000","시티프라디움2단지","84.9823","202510","29","46,500","-","11","개인","개인","2020","중고개로142번길 17","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구","-"
"39","충청북도 청주시 상당구 용암동","2096","2096","0000","현대3","133.8900","202510","29","27,800","-","12","개인","개인","1995","중흥로 70","-","중개거래","충북 청주시 상당구","-"
"40","충청북도 청주시 상당구 용담동","425","0425","0000","가좌마을부영","59.9870","202510","29","17,200","-","12","개인","개인","2003","호미로 329","-","중개거래","충북 청주시 상당구","-"
"41","충청북도 청주시 상당구 금천동","199-1","0199","0001","현대","70.2200","202510","28","12,000","-","1","개인","개인","1992","중고개로337번길 23","-","중개거래","충북 청주시 상당구","-"
"42","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","84.9687","202510","28","49,500","-","10","개인","개인","2021","중고개로142번길 20","-","중개거래","충북 청주시 상당구","-"
"43","충청북도 청주시 상당구 방서동","825","0825","0000","동남지구호반써밋브룩사이드","84.9481","202510","28","45,500","-","6","개인","개인","2023","동남로 2","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"44","충청북도 청주시 상당구 방서동","655","0655","0000","청주하트리움리버파크","84.8401","202510","28","41,000","-","15","개인","개인","2019","2순환로 2031","-","중개거래","충북 청주시 상당구","-"
"45","충청북도 청주시 상당구 용암동","2096","2096","0000","현대3","83.8200","202510","28","20,500","-","4","개인","개인","1995","중흥로 70","-","중개거래","충북 청주시 상당구","-"
"46","충청북도 청주시 상당구 용암동","3147","3147","0000","시티프라디움2단지","84.9954","202510","28","47,000","-","10","개인","개인","2020","중고개로142번길 17","-","중개거래","충북 청주시 상당구","-"
"47","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","60.0000","202510","28","8,000","104","3","개인","개인","1996","월평로 243","-","직거래","-","25.10.29"
"48","충청북도 청주시 상당구 용암동","2064","2064","0000","세원한아름","41.8500","202510","28","7,300","112동","1","개인","개인","1994","무농정로 90","-","직거래","-","25.10.29"
"49","충청북도 청주시 상당구 금천동","312","0312","0000","장자마을부영(312)","84.9767","202510","27","22,500","-","3","개인","개인","2003","수영로 306","-","중개거래","충북 청주시 상당구","-"
"50","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운코아루휴티스","84.6871","202510","27","39,500","-","31","개인","개인","2020","중앙로 80","-","중개거래","충북 청주시 상당구","-"
"51","충청북도 청주시 상당구 용암동","2542","2542","0000","중흥마을부영(2542-0)","59.9870","202510","27","15,600","-","15","개인","법인","2003","중흥로 173","-","중개거래","충북 청주시 상당구","-"
"52","충청북도 청주시 상당구 용담동","467","0467","0000","우미린에듀파크2단지","84.9813","202510","27","40,700","-","9","개인","개인","2018","수영로 359","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구","-"
"53","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","84.9000","202510","27","13,000","102","14","개인","개인","1993","꽃산동로 41","-","중개거래","충북 청주시 상당구","25.10.31"
"54","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","84.8470","202510","27","41,800","-","16","개인","개인","2022","용담로 50","-","중개거래","충북 청주시 상당구","-"
"55","충청북도 청주시 상당구 금천동","77-7","0077","0007","뉴타운","84.9000","202510","27","13,000","-","14","개인","개인","1993","꽃산동로 41","20251031","중개거래","충북 청주시 상당구","-"
"56","충청북도 청주시 상당구 금천동","324","0324","0000","장자마을부영(324-3단지)","84.9916","202510","27","21,400","-","13","개인","개인","2003","호미로 285","-","중개거래","충북 청주시 상당구","-"
"57","충청북도 청주시 상당구 대성동","5","0005","0000","우성","84.9500","202510","27","17,000","-","11","개인","개인","1991","용담로63번길 33","-","중개거래","충북 청주시 상당구","-"
"58","충청북도 청주시 상당구 용정동","1286","1286","0000","우미린에듀파크1단지","84.9874","202510","27","39,000","-","2","개인","개인","2017","수영로 360","-","중개거래","충북 청주시 상당구","-"
"59","충청북도 청주시 상당구 용암동","3147","3147","0000","시티프라디움2단지","84.9954","202510","27","47,000","-","13","개인","개인","2020","중고개로142번길 17","-","중개거래","충북 청주시 상당구","-"
"60","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운코아루휴티스","84.9935","202510","26","39,500","-","20","개인","개인","2020","중앙로 80","-","중개거래","충북 청주시 상당구","-"
"61","충청북도 청주시 상당구 용정동","1116","1116","0000","청주용정한라비발디","84.9200","202510","26","36,300","-","19","개인","개인","2013","용정로 35","-","중개거래","충북 청주시 상당구","-"
