"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 청원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","전세","57.7554","202511","05","12,357","0","2","2014","2산단4로 60","202511~202611","갱신","-","12,199","0","아파트"
"2","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","전세","82.8216","202511","05","16,542","0","10","2015","2산단4로 20","202511~202611","갱신","-","16,379","0","아파트"
"3","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202511","05","16,542","0","11","2015","2산단로 151","202511~202611","갱신","-","16,542","0","아파트"
"4","충청북도 청주시 청원구 오창읍 주성리","567","0567","0000","충북오창사랑으로부영5단지","전세","82.8216","202511","05","16,542","0","6","2015","2산단4로 20","202511~202611","갱신","-","16,542","0","아파트"
"5","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202511","05","16,542","0","18","2015","2산단로 151","202602~202702","갱신","-","16,542","0","아파트"
"6","충청북도 청주시 청원구 오창읍 주성리","561","0561","0000","충북오창사랑으로부영8단지","전세","82.8216","202511","04","16,542","0","1","2015","2산단로 151","202511~202611","갱신","-","16,542","0","아파트"
"7","충청북도 청주시 청원구 오창읍 주성리","564","0564","0000","사랑으로부영7단지","전세","57.7554","202511","04","12,357","0","20","2014","2산단4로 60","202511~202611","갱신","-","12,199","0","아파트"
"8","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","전세","57.7554","202511","04","12,567","0","12","2014","2산단로 125","202512~202612","갱신","-","12,164","0","아파트"
"9","충청북도 청주시 청원구 오창읍 주성리","569","0569","0000","충북오창사랑으로부영6단지","전세","57.7554","202511","04","12,567","0","10","2014","2산단로 125","202511~202611","갱신","-","12,382","0","아파트"
"10","충청북도 청주시 청원구 오창읍 각리","646-6","0646","0006","이안오창","전세","84.8307","202511","03","21,000","0","3","2006","오창중앙로 83","202512~202712","신규","-","","","아파트"
