□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,충청북도 청주시 서원구 미평동,276-2,276,2,힐타운하우스,260.43,631,202510,27,"76,000",1,개인,개인,2009,남지로21번길 39,-,직거래,-,-
2,충청북도 청주시 서원구 모충동,505-12,505,12,주연빌라,40.33,30.65,202510,19,"8,000",2,개인,개인,1989,호국로3번길 45,-,중개거래,충북 청주시 서원구,25.10.22
3,충청북도 청주시 서원구 사직동,47-23,47,23,목련,47.88,46.7,202510,15,"10,000",1,개인,법인,1985,모충로153번길 19,-,직거래,-,25.10.15
4,충청북도 청주시 서원구 죽림동,137-1,137,1,그린하우스,50.79,71.875,202510,14,"8,000",3,개인,개인,2013,대림로421번길 99,-,중개거래,충북 청주시 서원구,25.10.15
5,충청북도 청주시 서원구 사창동,207-1,207,1,동신(마),50.45,28,202510,14,"5,500",2,개인,개인,1980,천수로 14-2,-,중개거래,충북 청주시 서원구,25.10.14
6,충청북도 청주시 서원구 산남동,324-1,324,1,인덱스타운,56.32,72.26,202510,1,"10,000",4,개인,개인,2012,1순환로 852,-,중개거래,충북 청주시 서원구,25.10.10
7,충청북도 청주시 서원구 사창동,244-2,244,2,한독유니빌,154.61,72.7938,202509,29,"16,000",5,개인,개인,2004,예체로139번길 21,-,중개거래,충북 청주시 흥덕구,-
8,충청북도 청주시 서원구 개신동,443-35,443,35,창대아트빌라,23.97,14.822,202509,27,"1,750",2,개인,개인,1995,모충로44번길 25,-,직거래,-,25.10.02
9,충청북도 청주시 서원구 사창동,129-7,129,7,동구가동,77.91,48.96,202509,24,"8,500",1,개인,개인,1994,봉명로142번길 26,-,중개거래,충북 청주시 서원구,25.09.24
10,충청북도 청주시 서원구 사창동,130-3,130,3,대한B동,45.99,39.68,202509,16,"6,500",1,개인,개인,1989,1순환로614번길 23,-,중개거래,충북 청주시 흥덕구,25.09.19
11,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,61.71,64.69,202509,15,"8,270",2,개인,개인,1982,수영로8번길 17,-,직거래,-,25.09.17
12,충청북도 청주시 서원구 사창동,129-7,129,7,동구가동,77.91,48.96,202509,7,"9,300",3,개인,개인,1994,봉명로142번길 26,-,중개거래,충북 청주시 서원구,25.10.01
13,충청북도 청주시 서원구 사창동,137-2,137,2,동남주택(137-2),46.08,4.8,202508,31,"5,600",2,개인,개인,1990,1순환로634번길 9,-,중개거래,충북 청주시 서원구,25.09.19
14,충청북도 청주시 서원구 남이면 척산리,587-5,587,5,황금빌라,68.77,76.18,202508,29,"14,770",1,개인,법인,2017,청남로 1233-6,-,직거래,-,25.09.10
15,충청북도 청주시 서원구 죽림동,157,157,0,라헨느빌,72.98,117.23,202508,24,"18,900",4,개인,개인,2013,대림로421번길 66,-,중개거래,충북 청주시 상당구,25.10.28
16,충청북도 청주시 서원구 사직동,631-189,631,189,청봉빌라,63.15,45.66,202508,16,"11,800",1,개인,개인,1995,창직로88번길 21,-,중개거래,충북 청주시 서원구,25.08.21
17,충청북도 청주시 서원구 사창동,248-10,248,10,동신,41.39,50.6,202508,11,"5,700",1,개인,개인,1979,천석로 22,-,중개거래,충북 청주시 흥덕구,25.08.20
18,충청북도 청주시 서원구 사직동,640-20,640,20,동원A,64.76,53.85,202508,4,"12,265",4,개인,개인,1984,호국로 39,-,중개거래,충북 청주시 서원구,25.08.08
19,충청북도 청주시 서원구 수곡동,1-65,65,1,아름나래빌,84.7459,76.3844,202507,25,"15,000",4,개인,개인,2004,수영로24번길 32,-,중개거래,충북 청주시 서원구,25.10.15
20,충청북도 청주시 서원구 분평동,292-6,292,6,(292-6),68.24,54.54,202507,22,"16,000",5,개인,개인,2015,매봉로2번길 39-5,-,직거래,-,25.07.24
21,충청북도 청주시 서원구 모충동,458,458,0,베로스빌,70.98,75.9375,202507,11,"11,300",3,개인,개인,2007,모충로96번길 30-1,-,중개거래,충북 청주시 서원구,25.09.03
22,충청북도 청주시 서원구 장성동,04월 02일,4,2,보람주택,49.66,79.67,202507,10,"8,000",3,개인,개인,1992,궁뜰로 47-1,-,직거래,-,25.07.25
23,충청북도 청주시 서원구 사직동,266-1,266,1,서울주택,48.09,31.82,202507,8,"6,000",2,개인,개인,1983,호국로 108,-,중개거래,충북 청주시 흥덕구,25.07.15
24,충청북도 청주시 서원구 수곡동,3-71,71,3,수곡연립,51.03,53.49,202507,7,"6,000",2,개인,개인,1982,수영로8번길 17,-,중개거래,"충북 청주시 서원구, 충북 청주시 청원구",25.09.19
