"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 청원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청북도 청주시 청원구 율량동","902-2","0902","0002","스카이빌B","75.4300","54.4875","202511","02","10,400","4","개인","개인","2004","율봉로152번길 14","20251103","중개거래","충북 청주시 청원구","-"
"2","충청북도 청주시 청원구 주중동","186-46","0186","0046","어웰휴빌리지1차","84.9075","154.6750","202510","18","21,000","3","개인","개인","2016","공항로220번길 100","-","중개거래","충북 청주시 청원구","-"
"3","충청북도 청주시 청원구 우암동","410-1","0410","0001","(410-1)","68.5300","53.2625","202510","18","9,500","2","개인","개인","2006","교서로210번길 12-4","-","중개거래","충북 청주시 서원구","-"
"4","충청북도 청주시 청원구 내덕동","417-6","0417","0006","내덕","53.4600","55.6293","202510","11","6,500","3","개인","개인","1984","공항로58번길 35","-","중개거래","충북 청주시 청원구","25.10.20"
"5","충청북도 청주시 청원구 오창읍 양지리","109-1","0109","0001","포시즌타운빌B동","53.2400","64.5000","202510","03","11,200","2","개인","개인","2018","2산단1로 97-5","-","중개거래","충북 청주시 청원구","25.10.13"
"6","충청북도 청주시 청원구 주중동","186-46","0186","0046","어웰휴빌리지1차","84.9075","154.6750","202510","02","18,000","1","개인","개인","2016","공항로220번길 100","-","중개거래","충북 청주시 청원구, 충북 청주시 흥덕구","25.10.20"
"7","충청북도 청주시 청원구 내덕동","135-4","0135","0004","삼일","72.4800","63.0833","202509","19","7,600","2","개인","개인","1983","안덕벌로 68","-","중개거래","충북 청주시 청원구","-"
"8","충청북도 청주시 청원구 내수읍 도원리","61-9","0061","0009","(61-9)","63.8400","80.8750","202509","17","14,500","4","개인","법인","2019","도원세교로 81-5","-","직거래","-","-"
"9","충청북도 청주시 청원구 주중동","525-1","0525","0001","(525-1외)","56.7300","83.3750","202509","15","7,400","3","개인","개인","2014","발산로 6-19","-","중개거래","충북 청주시 청원구","-"
"10","충청북도 청주시 청원구 우암동","336-18","0336","0018","흥덕빌라","45.9000","29.5000","202509","11","3,800","2","개인","개인","1990","교서로134번길 18","-","중개거래","충북 청주시 청원구","25.09.29"
"11","충청북도 청주시 청원구 내덕동","710-7","0710","0007","이원","51.8400","47.5000","202508","20","6,500","1","개인","개인","1984","1순환로341번길 11","-","중개거래","충북 청주시 청원구","25.09.23"
"12","충청북도 청주시 청원구 오창읍 탑리","266-5","0266","0005","(266-5)","70.0300","123.5700","202508","10","17,000","1","개인","개인","2018","탑리길 23","-","직거래","-","25.09.05"
"13","충청북도 청주시 청원구 주중동","186-50","0186","0050","어웰휴빌리지2차","84.9875","154.9375","202508","06","16,500","2","개인","개인","2016","공항로220번길 110","-","직거래","-","25.09.05"
"14","충청북도 청주시 청원구 내덕동","393-27","0393","0027","스카이빌","77.7500","47.5000","202508","04","14,500","4","개인","개인","2011","공항로46번길 14","-","중개거래","충북 청주시 흥덕구","25.08.25"
"15","충청북도 청주시 청원구 내덕동","726-16","0726","0016","부성빌리지","63.6500","38.6900","202507","18","6,300","3","개인","개인","2003","새터로142번길 34","-","중개거래","충북 청주시 청원구","25.07.25"
"16","충청북도 청주시 청원구 내덕동","357-22","0357","0022","규형빌라","99.7000","94.1500","202507","15","15,500","3","개인","개인","2003","공항로43번길 10-9","-","중개거래","충북 청주시 흥덕구","25.09.18"
"17","충청북도 청주시 청원구 오창읍 장대리","324-35","0324","0035","보탑아트빌","66.0300","49.6400","202507","08","9,600","3","개인","개인","2013","장대길 14-2","-","직거래","-","25.08.18"
"18","충청북도 청주시 청원구 율량동","18-17","0018","0017","율량힐타운제101동102동","76.7000","122.8750","202507","04","15,500","2","개인","개인","2014","1순환로1896번길 19-20","-","중개거래","충북 청주시 청원구","25.08.08"
"19","충청북도 청주시 청원구 내수읍 마산리","138-8","0138","0008","동경빌리지(204동,205동)","77.6300","71.5816","202507","04","12,000","2","개인","개인","2013","내수로 680-3","-","중개거래","충북 증평군, 충북 청주시 청원구","25.08.08"
"20","충청북도 청주시 청원구 내수읍 마산리","1-17","0001","0017","영두빌라","45.3400","41.5700","202507","04","2,900","2","개인","개인","1992","마산1길 83","-","직거래","-","25.07.16"
"21","충청북도 청주시 청원구 율량동","18-16","0018","0016","율량힐타운201동","84.9000","157.1250","202507","01","20,000","3","개인","개인","2015","1순환로1896번길 19-22","-","직거래","-","25.07.14"
"22","충청북도 청주시 청원구 주중동","186-46","0186","0046","어웰휴빌리지1차","84.9075","154.6750","202506","28","18,400","3","개인","개인","2016","공항로220번길 100","-","중개거래","충북 청주시 청원구","-"
"23","충청북도 청주시 청원구 주중동","186-46","0186","0046","어웰휴빌리지1차","84.9075","41.8500","202506","28","18,400","3","개인","개인","2016","공항로220번길 100","20250702","중개거래","충북 청주시 청원구","-"
"24","충청북도 청주시 청원구 내덕동","710-7","0710","0007","이원","51.8400","47.5000","202506","26","5,850","1","개인","개인","1984","1순환로341번길 11","-","중개거래","충북 청주시 청원구","25.07.04"
"25","충청북도 청주시 청원구 주중동","186-8","0186","0008","금원휴빌리지","84.9075","159.9700","202506","23","24,800","4","개인","개인","2017","공항로220번길 111","-","중개거래","충북 청주시 청원구","25.08.22"
"26","충청북도 청주시 청원구 내수읍 은곡리","248-19","0248","0019","화이트빌리지","70.5100","125.6250","202506","20","10,000","4","개인","개인","2014","은곡2길 15-25","-","중개거래","충북 청주시 청원구","25.08.04"
"27","충청북도 청주시 청원구 내덕동","726-16","0726","0016","부성빌리지","62.0600","37.7200","202506","17","6,500","4","개인","개인","2003","새터로142번길 34","-","중개거래","충북 청주시 청원구","25.08.26"
"28","충청북도 청주시 청원구 오창읍 장대리","324-39","0324","0039","SH","72.9600","77.1250","202506","11","14,500","4","개인","개인","2014","장대길 15","-","중개거래","충북 청주시 청원구","25.07.11"
"29","충청북도 청주시 청원구 오창읍 장대리","234-1","0234","0001","그린빌라","56.7800","53.4300","202506","10","6,400","1","개인","개인","2003","오창시내2길 5","-","중개거래","충북 청주시 청원구","25.08.14"
"30","충청북도 청주시 청원구 오창읍 창리","39-1","0039","0001","프라임시티","45.8500","19.3500","202506","05","8,000","2","개인","개인","2013","공항로 1006","-","중개거래","충북 청주시 청원구","25.06.13"
"31","충청북도 청주시 청원구 내수읍 은곡리","251-55","0251","0055","크라운빌104동","71.9480","92.5000","202506","02","12,000","3","개인","개인","2015","내수로 598-1","-","중개거래","충북 청주시 청원구","25.07.24"
"32","충청북도 청주시 청원구 내수읍 내수리","261-8","0261","0008","동경타운빌(312동,313동)","72.5500","101.6512","202505","25","14,600","2","개인","개인","2016","내수로 589","-","중개거래","충북 청주시 청원구","25.07.25"
"33","충청북도 청주시 청원구 내수읍 마산리","178-2","0178","0002","동경드림빌103,104","73.3500","127.1250","202505","15","11,700","2","개인","개인","2012","초정약수로 194-8","-","중개거래","충북 청주시 상당구","25.06.18"
"34","충청북도 청주시 청원구 내수읍 마산리","178-2","0178","0002","동경드림빌103,104","73.3500","127.1250","202505","14","11,700","1","개인","개인","2012","초정약수로 194-8","-","중개거래","충북 청주시 청원구","25.06.02"
"35","충청북도 청주시 청원구 내수읍 초정리","203-2","0203","0002","아름아트빌라","92.5800","176.2500","202505","10","9,000","2","개인","개인","2002","미원초정로 1241-15","-","직거래","-","25.06.10"
"36","충청북도 청주시 청원구 우암동","328-10","0328","0010","한신빌리지","97.7100","47.8045","202505","09","13,000","4","개인","개인","2001","중앙로103번길 21","-","중개거래","충북 청주시 청원구","25.06.18"
"37","충청북도 청주시 청원구 우암동","375-1","0375","0001","우성상가","61.2000","35.1900","202505","08","4,000","4","개인","개인","1981","향군로108번길 32","-","중개거래","충북 청주시 청원구","25.06.20"
"38","충청북도 청주시 청원구 오창읍 장대리","324-35","0324","0035","보탑아트빌","61.7800","46.4400","202505","06","7,500","5","개인","개인","2013","장대길 14-2","-","중개거래","충북 청주시 청원구","25.07.30"
"39","충청북도 청주시 청원구 율량동","18-7","0018","0007","힐타운Ⅱ","72.9600","112.6125","202505","06","12,000","2","개인","개인","2015","1순환로1896번길 19-28","-","중개거래","충북 청주시 청원구","25.07.18"
"40","충청북도 청주시 청원구 오창읍 양지리","109-1","0109","0001","포시즌타운빌B동","53.2400","64.5000","202505","02","13,000","3","개인","개인","2018","2산단1로 97-5","-","직거래","-","25.05.07"
"41","충청북도 청주시 청원구 우암동","376-3","0376","0003","우암빌라","65.4000","72.0800","202504","30","11,800","1","개인","개인","1985","향군로94번길 25","-","직거래","-","25.05.27"
"42","충청북도 청주시 청원구 내수읍 마산리","1-21","0001","0021","내수","63.9000","134.7500","202504","28","4,000","1","개인","개인","1985","마산1길 79","-","직거래","-","25.05.14"
"43","충청북도 청주시 청원구 내수읍 마산리","93-2","0093","0002","내수극동","59.5600","50.1500","202504","21","3,700","4","개인","개인","1991","마산2길 17-4","-","중개거래","충북 청주시 청원구","25.05.23"
"44","충청북도 청주시 청원구 사천동","392-21","0392","0021","정우빌라","52.2000","40.2800","202504","12","3,300","2","개인","개인","1989","율천북로13번길 10","-","중개거래","충북 청주시 청원구","25.04.17"
"45","충청북도 청주시 청원구 주중동","560","0560","0000","어반하우스A,B동","144.5500","260.6364","202504","07","35,000","1","개인","개인","2016","공항로 242-22","-","중개거래","충북 청주시 청원구","25.05.30"
"46","충청북도 청주시 청원구 오창읍 장대리","324-44","0324","0044","드림애102동,103동","65.8679","49.3750","202504","01","12,300","2","개인","법인","2017","장대길 11-1","-","중개거래","충북 청주시 청원구","25.04.24"
"47","충청북도 청주시 청원구 내수읍 마산리","1-17","0001","0017","영두빌라","46.1550","42.3200","202503","27","2,300","3","개인","개인","1992","마산1길 83","-","직거래","-","25.03.27"
