"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","19.4400","6.5000","202510","20","2,600","5","개인","개인","2012","탑연1길 13","-","중개거래","충북 청주시 흥덕구","25.10.24"
"2","충청북도 청주시 흥덕구 운천동","1385","1385","0000","상우가동","46.4100","33.0000","202510","20","2,800","-1","개인","개인","1988","흥덕로175번길 7-3","-","중개거래","충북 청주시 흥덕구","-"
"3","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","19.3375","6.4700","202510","16","3,000","3","개인","개인","2012","탑연1길 13","-","직거래","-","25.10.17"
"4","충청북도 청주시 흥덕구 운천동","1417","1417","0000","세종나동","45.9600","37.0700","202510","16","4,000","2","개인","개인","1990","사운로236번길 14-1","-","중개거래","충북 청주시 흥덕구","25.10.21"
"5","충청북도 청주시 흥덕구 비하동","683-1","0683","0001","청운빌라","45.7200","31.5000","202510","14","5,400","1","개인","개인","1990","청향로27번길 23","-","중개거래","충북 청주시 서원구","25.10.30"
"6","충청북도 청주시 흥덕구 운천동","818","0818","0000","중앙A동","45.9600","30.7100","202510","12","6,300","2","개인","개인","1989","흥덕로127번길 44","-","중개거래","충북 청주시 흥덕구","-"
"7","충청북도 청주시 흥덕구 운천동","793","0793","0000","황우빌라","46.0800","36.8500","202509","24","4,200","1","개인","개인","1989","흥덕로151번길 7-3","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","25.10.22"
"8","충청북도 청주시 흥덕구 운천동","1264","1264","0000","(1264-0)","46.1400","39.5600","202509","24","2,800","3","개인","개인","1990","운천로17번길 10","-","직거래","-","-"
"9","충청북도 청주시 흥덕구 봉명동","1810","1810","0000","(1810-0)","44.4700","31.1333","202509","18","5,200","2","개인","개인","1987","과상미로10번길 37-7","-","직거래","-","25.09.22"
"10","충청북도 청주시 흥덕구 신봉동","341-4","0341","0004","나산아트빌","54.6400","37.6700","202509","11","9,300","3","개인","개인","2013","1순환로549번길 113-18","-","중개거래","충북 청주시 흥덕구","25.10.17"
"11","충청북도 청주시 흥덕구 비하동","165-27","0165","0027","한진2동","46.0200","33.6600","202509","09","4,800","1","개인","개인","1990","비하로 59-11","-","중개거래","충북 청주시 흥덕구","-"
"12","충청북도 청주시 흥덕구 봉명동","1450","1450","0000","주연B동","46.0800","38.7000","202509","06","3,500","1","개인","개인","1988","과상미로66번길 12","20250929","중개거래","충북 청주시 흥덕구","-"
"13","충청북도 청주시 흥덕구 봉명동","1450","1450","0000","주연B동","46.0800","38.7000","202509","06","4,400","1","개인","개인","1988","과상미로66번길 12","-","직거래","-","25.09.09"
"14","충청북도 청주시 흥덕구 운천동","557-17","0557","0017","천재A동","80.8200","55.3340","202508","26","14,000","3","개인","개인","2010","1순환로 403-30","-","중개거래","충북 청주시 흥덕구","25.09.19"
