□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(전월세),,,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,충청북도 청주시 상당구 남일면 효촌리,244-1,244,1,일송빌라,월세,27.8,202510,27,100,20,4,1998,효촌송암길 18-26,202510~202710,신규,-,,,연립다세대
2,충청북도 청주시 상당구 용담동,89-26,89,26,아진빌,전세,59.41,202510,1,"2,000",0,-1,2014,명암로 7-39,202510~202710,신규,-,,,연립다세대
3,충청북도 청주시 상당구 수동,116-28,116,28,덕원빌라,월세,45.03,202509,30,500,35,1,2003,대성로180번길 56-3,202510~202710,신규,-,,,연립다세대
4,충청북도 청주시 상당구 금천동,107,107,0,금천,월세,52.59,202509,22,500,40,3,1985,쇠내로113번길 24,202510~202710,신규,-,,,연립다세대
5,충청북도 청주시 상당구 문의면 미천리,114-4,114,4,대청타운하우스,월세,71.18,202509,13,"1,000",60,3,2008,대청호반로 840,202509~202709,신규,-,,,연립다세대
6,충청북도 청주시 상당구 남일면 고은리,419-21,419,21,두산센트로,월세,128.436,202509,11,"5,000",115,3,2022,고은두산로 19-10,202511~202710,신규,-,,,연립다세대
7,충청북도 청주시 상당구 금천동,47-21,47,21,(47-21),전세,60.72,202509,8,"9,000",0,2,2014,중고개로 287-18,202510~202710,신규,-,,,연립다세대
8,충청북도 청주시 상당구 대성동,1-88,88,1,대성,전세,51.68,202508,28,"3,000",0,3,1986,대성로122번길 56,202509~202709,신규,-,,,연립다세대
9,충청북도 청주시 상당구 금천동,212-51,212,51,(212-51),전세,67.31,202508,26,"12,500",0,7,2015,수영로245번길 4-8,202510~202710,신규,-,,,연립다세대
10,충청북도 청주시 상당구 금천동,47-36,47,36,루시드빌C동,전세,49.49,202508,18,"2,500",0,5,2015,중고개로 287-19,202508~202708,신규,-,,,연립다세대
11,충청북도 청주시 상당구 대성동,1-88,88,1,대성,월세,52.93,202508,16,500,35,1,1986,대성로122번길 56,202508~202708,신규,-,,,연립다세대
12,충청북도 청주시 상당구 미원면 내산리,120,120,0,"내산빌리지(A,B,C)",월세,69.65,202508,10,0,50,4,2013,내산길 18,202508~202604,갱신,-,600,50,연립다세대
13,충청북도 청주시 상당구 금천동,6-52,52,6,정원쉐르빌D,전세,69.9202,202508,8,"13,000",0,2,2015,꽃산동로 4-20,202508~202708,신규,-,,,연립다세대
14,충청북도 청주시 상당구 금천동,5-52,52,5,"정원쉐르빌(A,B,C동)",전세,44.7267,202507,30,"5,000",0,5,2014,꽃산동로 4-17,202508~202708,신규,-,,,연립다세대
15,충청북도 청주시 상당구 금천동,111-19,111,19,명지빌라,월세,94.44,202507,29,"1,000",70,2,2000,쇠내로103번길 26-1,202508~202608,신규,-,,,연립다세대
16,충청북도 청주시 상당구 용담동,89-26,89,26,아진빌,전세,59.41,202507,25,"2,500",0,-1,2014,명암로 7-39,202507~202707,신규,-,,,연립다세대
17,충청북도 청주시 상당구 금천동,216-15,216,15,금천동216-15,월세,69.28,202507,17,"1,000",70,3,2022,중고개로273번길 42,202508~202710,신규,-,,,연립다세대
18,충청북도 청주시 상당구 남일면 효촌리,1-44,44,1,송정베스트빌,월세,77.47,202507,14,"9,500",25,3,2019,효촌송정1길 42,202508~202708,신규,-,,,연립다세대
19,충청북도 청주시 상당구 남일면 효촌리,1-44,44,1,송정베스트빌,월세,70.53,202507,13,"2,000",70,2,2019,효촌송정1길 42,202508~202708,신규,-,,,연립다세대
20,충청북도 청주시 상당구 탑동,252-1,252,1,연화하우스B동,월세,48.51,202507,9,"1,000",40,4,2005,탑동로39번길 11,202507~202707,신규,-,,,연립다세대
21,충청북도 청주시 상당구 용담동,1-87,87,1,로즈웰,월세,53.5712,202507,4,"2,000",52,4,2012,명암로 7-36,202507~202707,갱신,사용,"2,000",50,연립다세대
22,충청북도 청주시 상당구 용담동,2-87,87,2,청우테라스하우스,전세,84.48,202507,3,"8,000",0,1,2016,명암로 13-1,202507~202707,신규,-,,,연립다세대
23,충청북도 청주시 상당구 수동,427-6,427,6,(427-6),전세,69.69,202506,25,"14,000",0,4,2015,대성로 230-5,202411~202611,갱신,-,"14,000",0,연립다세대
24,충청북도 청주시 상당구 남일면 효촌리,45,45,0,한림A동B동,월세,48.21,202506,25,300,37,2,1991,효촌송정1길 44,202506~202706,신규,-,,,연립다세대
25,충청북도 청주시 상당구 남일면 효촌리,1-44,44,1,송정베스트빌,월세,72.24,202506,20,"2,000",76,2,2019,효촌송정1길 42,202507~202707,신규,-,,,연립다세대
