"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","충청북도 청주시 흥덕구 봉명동","1585","1585","0000","주연2차","월세","46.0800","202511","04","800","40","2","1988","백봉로220번길 83","202511~202711","신규","-","","","연립다세대"
"2","충청북도 청주시 흥덕구 복대동","870-5","0870","0005","충대풀하우스","월세","15.3600","202510","29","300","38","4","2014","사직대로 62","202511~202611","신규","-","","","연립다세대"
"3","충청북도 청주시 흥덕구 비하동","673-13","0673","0013","우진씨이동","월세","45.7200","202510","22","200","55","1","1990","청향로5번길 18","202510~202604","신규","-","","","연립다세대"
"4","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","전세","66.7400","202510","17","10,000","0","4","2014","오송동평길 87","202510~202710","갱신","-","9,450","0","연립다세대"
"5","충청북도 청주시 흥덕구 복대동","40-15","0040","0015","민성빌라","월세","46.0800","202510","13","500","35","1","1989","복대로189번길 13","202510~202710","신규","-","","","연립다세대"
"6","충청북도 청주시 흥덕구 오송읍 쌍청리","108-22","0108","0022","쌍청리예당마을3동","월세","59.9718","202510","11","1,000","50","4","2017","쌍청2길 6-2","202510~202610","갱신","사용","1,000","50","연립다세대"
"7","충청북도 청주시 흥덕구 신봉동","338","0338","0000","(338-0)","월세","75.6000","202509","27","1,000","110","2","1989","직지대로681번길 32-1","202509~202609","신규","-","","","연립다세대"
"8","충청북도 청주시 흥덕구 봉명동","2308","2308","0000","(2308-0)","전세","61.6000","202509","21","11,000","0","4","2015","송절로124번길 36","202509~202709","신규","-","","","연립다세대"
"9","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","월세","53.5500","202509","20","1,000","65","3","2012","송절로124번길 55","202510~202710","신규","-","","","연립다세대"
"10","충청북도 청주시 흥덕구 복대동","847-6","0847","0006","태양","월세","83.3000","202509","20","900","70","1","1983","월명로5번길 4","202510~202610","신규","-","","","연립다세대"
"11","충청북도 청주시 흥덕구 강내면 사곡리","314","0314","0000","사곡리주택","전세","93.6000","202509","15","6,000","0","1","2007","사곡1리지현길 13-23","202509~202609","신규","-","","","연립다세대"
"12","충청북도 청주시 흥덕구 봉명동","1450","1450","0000","주연B동","전세","46.0800","202509","06","3,500","0","1","1988","과상미로66번길 12","202509~202709","신규","-","","","연립다세대"
"13","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","월세","66.7400","202508","23","2,000","50","3","2014","오송동평길 87","202509~202709","신규","-","","","연립다세대"
"14","충청북도 청주시 흥덕구 봉명동","1135","1135","0000","제일","월세","45.5400","202508","22","300","45","3","1987","천수로44번길 23","202508~202708","신규","-","","","연립다세대"
"15","충청북도 청주시 흥덕구 복대동","905-3","0905","0003","상원빌","전세","112.6750","202508","20","16,000","0","5","2013","충대로14번길 48","202509~202709","신규","-","","","연립다세대"
"16","충청북도 청주시 흥덕구 봉명동","225-2","0225","0002","인성빌라","월세","45.7800","202508","20","500","55","1","1989","봉명로142번길 14","202508~202608","신규","-","","","연립다세대"
"17","충청북도 청주시 흥덕구 복대동","870-5","0870","0005","충대풀하우스","월세","17.6400","202508","13","300","40","6","2014","사직대로 62","202508~202708","신규","-","","","연립다세대"
"18","충청북도 청주시 흥덕구 봉명동","2319","2319","0000","(2319-0)","월세","57.7300","202508","11","500","50","3","2014","송절로124번길 47","202508~202708","신규","-","","","연립다세대"
"19","충청북도 청주시 흥덕구 강내면 궁현리","47-1","0047","0001","(47-1)","월세","84.4200","202508","09","5,000","100","1","2020","서부로 523","202508~202708","신규","-","","","연립다세대"
"20","충청북도 청주시 흥덕구 옥산면 가락리","729-1","0729","0001","형제나동","월세","35.3700","202508","08","500","40","1","1993","오송가락로 853","202509~202609","신규","-","","","연립다세대"
"21","충청북도 청주시 흥덕구 봉명동","2319","2319","0000","(2319-0)","월세","59.5400","202508","08","10,000","18","3","2014","송절로124번길 47","202508~202708","신규","-","","","연립다세대"
"22","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","월세","53.5500","202508","07","500","70","1","2012","송절로124번길 55","202508~202608","신규","-","","","연립다세대"
"23","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.3500","202507","22","1,305","35","4","2023","사운로 311","202507~202709","신규","-","","","연립다세대"
"24","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.3500","202507","22","1,305","35","4","2023","사운로 311","202507~202709","신규","-","","","연립다세대"
"25","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공연립2","월세","46.7900","202507","19","500","35","1","1985","직지대로581번길 33-12","202508~202608","신규","-","","","연립다세대"
"26","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","월세","70.1000","202507","19","1,000","45","4","2014","오송동평길 87","202509~202709","신규","-","","","연립다세대"
"27","충청북도 청주시 흥덕구 오송읍 쌍청리","108-37","0108","0037","쌍청리예당마을202동","월세","59.9718","202507","19","1,000","60","3","2015","쌍청2길 6","202507~202607","신규","-","","","연립다세대"
"28","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.3500","202507","17","4,805","15","3","2023","사운로 311","202506~202709","갱신","-","1,305","35","연립다세대"
"29","충청북도 청주시 흥덕구 봉명동","1583","1583","0000","금석A동","월세","46.0800","202507","11","1,000","50","3","1989","백봉로220번길 79","202507~202607","신규","-","","","연립다세대"
"30","충청북도 청주시 흥덕구 비하동","670-10","0670","0010","국도빌라","월세","52.7900","202507","05","500","40","1","1989","청향로6번길 9-1","202507~202607","신규","-","","","연립다세대"
"31","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","전세","66.7400","202507","04","10,000","0","2","2014","오송동평길 87","202508~202708","신규","-","","","연립다세대"
"32","충청북도 청주시 흥덕구 오송읍 서평리","207-18","0207","0018","(207-18)","전세","60.5400","202507","02","9,500","0","1","2015","서평1길 183","202508~202708","신규","-","","","연립다세대"
"33","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","월세","84.3000","202507","02","10,400","5","1","1992","신율로 77","202508~202708","신규","-","","","연립다세대"
"34","충청북도 청주시 흥덕구 봉명동","2307","2307","0000","(2307-0)","월세","66.6400","202507","02","500","90","1","2015","송절로124번길 28","202507~202607","신규","-","","","연립다세대"
"35","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","월세","53.5500","202507","01","7,000","10","4","2012","송절로124번길 55","202507~202707","신규","-","","","연립다세대"
"36","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","전세","66.7400","202506","30","10,000","0","2","2014","오송동평길 87","202506~202706","신규","-","","","연립다세대"
"37","충청북도 청주시 흥덕구 복대동","225-6","0225","0006","소망(225-6)","월세","45.7800","202506","29","500","45","3","1990","대신로40번길 70","202507~202707","신규","-","","","연립다세대"
"38","충청북도 청주시 흥덕구 운천동","727","0727","0000","극동가동","월세","46.0800","202506","24","500","50","2","1989","흥덕로127번길 64","202507~202601","신규","-","","","연립다세대"
"39","충청북도 청주시 흥덕구 옥산면 오산리","586-2","0586","0002","금정빌라","전세","103.7400","202506","20","9,000","0","4","1998","오송가락로 770-5","202507~202707","신규","-","","","연립다세대"
"40","충청북도 청주시 흥덕구 운천동","1418","1418","0000","한영","월세","45.8200","202506","18","500","40","3","1989","사운로236번길 24","202506~202706","신규","-","","","연립다세대"
"41","충청북도 청주시 흥덕구 강내면 월곡리","301-11","0301","0011","세진2차","전세","73.1700","202506","16","5,000","0","2","1993","탑연월곡길 76-10","202507~202707","신규","-","","","연립다세대"
"42","충청북도 청주시 흥덕구 옥산면 가락리","729-6","0729","0006","형제다동","월세","42.0000","202506","13","500","40","3","1994","오송가락로 853","202506~202706","신규","-","","","연립다세대"
"43","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.9700","202506","12","1,316","35","2","2023","사운로 311","202506~202709","신규","-","","","연립다세대"
"44","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.3500","202506","12","1,305","35","3","2023","사운로 311","202506~202709","신규","-","","","연립다세대"
"45","충청북도 청주시 흥덕구 신봉동","153","0153","0000","(153-0000)","월세","84.3500","202506","12","1,305","35","3","2023","사운로 311","202506~202508","신규","-","","","연립다세대"
"46","충청북도 청주시 흥덕구 봉명동","742-3","0742","0003","공영(742-3)","월세","46.1400","202506","11","300","30","1","1988","1순환로549번길 52","202507~202709","신규","-","","","연립다세대"
"47","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202506","11","3,000","50","1","2022","서부로 523-1","202507~202607","신규","-","","","연립다세대"
"48","충청북도 청주시 흥덕구 비하동","673-8","0673","0008","우진에이동","월세","44.6400","202506","01","300","45","3","1990","청향로5번길 18","202506~202606","신규","-","","","연립다세대"
"49","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","월세","84.3000","202505","28","1,000","60","3","1992","신율로 77","202507~202707","신규","-","","","연립다세대"
"50","충청북도 청주시 흥덕구 복대동","980-6","0980","0006","동양나동","전세","46.0800","202505","24","4,000","0","1","1989","가로수로1380번길 22","202507~202607","신규","-","","","연립다세대"
"51","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","월세","53.5500","202505","24","300","65","3","2012","송절로124번길 55","202505~202705","신규","-","","","연립다세대"
"52","충청북도 청주시 흥덕구 오송읍 서평리","207-24","0207","0024","오송드림네스트103동","월세","60.5400","202505","22","500","65","1","2017","서평1길 185","202506~202706","신규","-","","","연립다세대"
"53","충청북도 청주시 흥덕구 비하동","671-4","0671","0004","동서빌라가동","전세","49.5600","202505","21","4,500","0","2","1989","청향로6번길 30","202506~202706","신규","-","","","연립다세대"
"54","충청북도 청주시 흥덕구 지동동","197-1","0197","0001","(197-1)","월세","39.5050","202505","20","500","33","2","2013","지동로68번길 12","202505~203005","신규","-","","","연립다세대"
"55","충청북도 청주시 흥덕구 복대동","870-5","0870","0005","충대풀하우스","월세","15.3600","202505","19","300","32","7","2014","사직대로 62","202505~202605","신규","-","","","연립다세대"
"56","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202505","12","3,000","50","2","2022","서부로 523-1","202505~202605","신규","-","","","연립다세대"
"57","충청북도 청주시 흥덕구 강내면 월곡리","301-10","0301","0010","세진1차","월세","86.5600","202505","12","500","40","4","1993","탑연월곡길 86-17","202505~202705","신규","-","","","연립다세대"
"58","충청북도 청주시 흥덕구 옥산면 가락리","729-1","0729","0001","형제나동","월세","36.3000","202505","10","200","40","1","1993","오송가락로 853","202505~202705","신규","-","","","연립다세대"
"59","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202505","09","6,000","20","2","2022","서부로 523-1","202505~202705","신규","-","","","연립다세대"
"60","충청북도 청주시 흥덕구 옥산면 가락리","729-8","0729","0008","형제가동","전세","35.9700","202504","30","4,500","0","1","1992","오송가락로 853","202506~202706","신규","-","","","연립다세대"
"61","충청북도 청주시 흥덕구 운천동","802","0802","0000","대호1동","월세","45.7200","202504","29","300","37","1","1989","흥덕로145번길 7-5","202505~202605","신규","-","","","연립다세대"
"62","충청북도 청주시 흥덕구 봉명동","2320-1","2320","0001","지이마을","월세","53.5500","202504","23","1,000","65","2","2012","송절로124번길 55","202505~202705","신규","-","","","연립다세대"
"63","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202504","18","2,000","60","4","2022","서부로 523-1","202504~202604","신규","-","","","연립다세대"
"64","충청북도 청주시 흥덕구 봉명동","1167-1","1167","0001","이조빌라가동","전세","48.7800","202504","12","6,500","0","3","1991","봉명로204번길 23","202505~202704","신규","-","","","연립다세대"
"65","충청북도 청주시 흥덕구 봉명동","1167-1","1167","0001","이조빌라가동","전세","48.7800","202504","12","6,500","0","3","1991","봉명로204번길 23","202504~202704","신규","-","","","연립다세대"
"66","충청북도 청주시 흥덕구 봉명동","1167-1","1167","0001","이조빌라가동","월세","48.7800","202504","12","5,000","6","3","1991","봉명로204번길 23","202505~202705","신규","-","","","연립다세대"
"67","충청북도 청주시 흥덕구 운천동","1391","1391","0000","유진","월세","49.1400","202504","07","300","33","1","1988","흥덕로161번길 8-6","202504~202704","신규","-","","","연립다세대"
"68","충청북도 청주시 흥덕구 강내면 학천리","54-2","0054","0002","(54-2)","월세","53.4725","202504","07","400","60","3","2015","청주역로 188-15","202504~202510","신규","-","","","연립다세대"
"69","충청북도 청주시 흥덕구 봉명동","2307","2307","0000","(2307-0)","전세","66.2700","202504","04","14,500","0","1","2015","송절로124번길 28","202506~202706","신규","-","","","연립다세대"
"70","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","전세","84.3000","202503","31","10,200","0","4","1992","신율로 77","202505~202705","신규","-","","","연립다세대"
"71","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공연립2","월세","52.5200","202503","31","500","40","1","1985","직지대로581번길 33-12","202504~202704","신규","-","","","연립다세대"
"72","충청북도 청주시 흥덕구 오송읍 동평리","77-8","0077","0008","(77-8)","전세","66.7400","202503","29","8,500","0","2","2014","오송동평길 85-1","202505~202705","신규","-","","","연립다세대"
"73","충청북도 청주시 흥덕구 오송읍 서평리","207-25","0207","0025","(207-25)","월세","60.5400","202503","21","1,000","55","1","2015","서평1길 187","202504~202704","신규","-","","","연립다세대"
"74","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공연립2","월세","46.7900","202503","19","500","40","2","1985","직지대로581번길 33-12","202504~202604","신규","-","","","연립다세대"
"75","충청북도 청주시 흥덕구 운천동","1258","1258","0000","세종가동","월세","45.9600","202503","17","2,000","35","2","1989","운천로17번길 13-1","202503~202703","신규","-","","","연립다세대"
"76","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","월세","36.7350","202503","17","8,500","38","2","2018","송절로124번길 50","202504~202704","신규","-","","","연립다세대"
"77","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","전세","47.8180","202503","13","12,000","0","4","2018","송절로124번길 50","202503~202703","신규","-","","","연립다세대"
"78","충청북도 청주시 흥덕구 강내면 학천리","54-2","0054","0002","(54-2)","월세","53.4725","202503","13","500","45","2","2015","청주역로 188-15","202503~202703","신규","-","","","연립다세대"
"79","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공연립2","전세","46.7800","202503","04","6,000","0","2","1985","직지대로581번길 33-12","202504~202704","신규","-","","","연립다세대"
"80","충청북도 청주시 흥덕구 봉명동","1602","1602","0000","주공연립2","전세","46.7800","202503","04","6,000","0","2","1985","직지대로581번길 33-12","202504~202704","신규","-","","","연립다세대"
"81","충청북도 청주시 흥덕구 봉명동","2319","2319","0000","(2319-0)","전세","46.7600","202502","26","8,000","0","4","2014","송절로124번길 47","202503~202703","신규","-","","","연립다세대"
"82","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","월세","19.4400","202502","20","200","29","5","2012","탑연1길 13","202502~202602","신규","-","","","연립다세대"
"83","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","전세","45.2180","202502","20","10,500","0","3","2018","송절로124번길 50","202503~202703","신규","-","","","연립다세대"
"84","충청북도 청주시 흥덕구 강내면 탑연리","150-21","0150","0021","푸르미르","전세","19.3375","202502","18","3,300","0","4","2012","탑연1길 13","202502~202702","신규","-","","","연립다세대"
"85","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","전세","36.7350","202502","13","8,600","0","3","2018","송절로124번길 50","202502~202702","신규","-","","","연립다세대"
"86","충청북도 청주시 흥덕구 비하동","665-2","0665","0002","주연빌라(665-2)","월세","46.0500","202502","12","500","50","1","1988","청향로30번길 16","202502~202702","신규","-","","","연립다세대"
"87","충청북도 청주시 흥덕구 강내면 학천리","69","0069","0000","금의빌라C동","전세","59.3500","202502","08","7,000","0","3","2018","학천1길 29","202503~202703","신규","-","","","연립다세대"
"88","충청북도 청주시 흥덕구 복대동","882-2","0882","0002","현대(882-2)","월세","75.5700","202502","08","500","60","2","1985","사직대로72번길 16","202502~202702","신규","-","","","연립다세대"
