□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 오피스텔(전월세),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 흥덕구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
5,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,월세,22.08,202510,31,300,45,18,2017,2순환로 1222,202511~202610,신규,-,,
6,충청북도 청주시 흥덕구 송절동,723,723,0,주건축물제1동,월세,36.12,202510,31,100,75,4,2020,송화로108번길 75,202511~202610,신규,-,,
7,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,월세,30.33,202510,29,500,60,5,2016,진재로 131,202510~202610,신규,-,,
8,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,전세,20.47,202510,29,"4,500",0,9,2016,가로수로1164번길 41-33,202510~202710,신규,-,,
9,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,월세,22.08,202510,28,500,50,7,2017,2순환로 1222,202511~202611,신규,-,,
10,충청북도 청주시 흥덕구 오송읍 연제리,673,673,0,1동,전세,58.76,202510,28,"14,000",0,3,2016,오송생명로 161,202511~202711,신규,-,,
11,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,월세,24.63,202510,28,400,42,14,2014,오송생명3로 31,202511~202611,신규,-,,
12,충청북도 청주시 흥덕구 오송읍 연제리,673,673,0,1동,전세,58.76,202510,28,"13,700",0,3,2016,오송생명로 161,202511~202711,신규,-,,
13,충청북도 청주시 흥덕구 비하동,784,784,0,-784,월세,36,202510,28,300,38,8,2008,비하로18번길 10,202510~202610,신규,-,,
14,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,월세,22.08,202510,25,300,40,13,2017,2순환로 1222,202510~202610,신규,-,,
15,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,월세,28.9,202510,25,500,47,18,2014,오송생명3로 31,202510~202610,신규,-,,
16,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,월세,24.63,202510,25,300,45,5,2014,오송생명3로 31,202511~202611,신규,-,,
17,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,월세,20.47,202510,24,300,37,7,2016,가로수로1164번길 41-33,202511~202611,신규,-,,
18,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,월세,30.33,202510,24,"6,000",40,6,2016,진재로 131,202510~202610,신규,-,,
19,충청북도 청주시 흥덕구 복대동,288-62,288,62,대농지구 롯데캐슬시티,월세,48.35,202510,24,"10,000",50,12,2017,진재로 141,202601~202812,신규,-,,
20,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,전세,22.08,202510,24,"7,000",0,3,2017,2순환로 1222,202511~202711,신규,-,,
21,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,월세,20.47,202510,24,300,38,8,2016,가로수로1164번길 41-33,202511~202610,신규,-,,
22,충청북도 청주시 흥덕구 복대동,288-62,288,62,대농지구 롯데캐슬시티,전세,48.35,202510,23,"19,000",0,10,2017,진재로 141,202512~202712,신규,-,,
23,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,월세,20.47,202510,22,300,38,11,2016,가로수로1164번길 41-33,202511~202611,신규,-,,
24,충청북도 청주시 흥덕구 강서동,460,460,0,이랜드타운힐스 싱글스위트 청주,월세,23.43,202510,22,500,50,7,2019,2순환로 1228,202510~202704,신규,-,,
25,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,전세,37.61,202510,22,"8,900",0,5,2016,가로수로1164번길 41-33,202511~202711,신규,-,,
26,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,월세,32.91,202510,21,"8,500",30,6,2016,진재로 131,202510~202710,신규,-,,
27,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,월세,22.08,202510,21,300,50,4,2017,2순환로 1222,202511~202710,신규,-,,
28,충청북도 청주시 흥덕구 강서동,498,498,0,-498,월세,44.46,202510,20,"2,000",30,6,2016,서현동로 21,202511~202611,갱신,-,"2,000",30
29,충청북도 청주시 흥덕구 복대동,3337,3337,0,-3337,월세,59.52,202510,20,"1,000",60,6,2015,죽천로 127,202510~202610,신규,-,,
30,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,전세,28.52,202510,20,"8,300",0,11,2016,진재로 131,202512~202711,신규,-,,
31,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,월세,22.08,202510,20,300,45,18,2017,2순환로 1222,202511~202610,신규,-,,
