행정구역,2025년09월_계_총인구수,2025년09월_계_연령구간인구수,2025년09월_계_0~9세,2025년09월_계_10~19세,2025년09월_계_20~29세,2025년09월_계_30~39세,2025년09월_계_40~49세,2025년09월_계_50~59세,2025년09월_계_60~69세,2025년09월_계_70~79세,2025년09월_계_80~89세,2025년09월_계_90~99세,2025년09월_계_100세 이상,2025년09월_남_총인구수,2025년09월_남_연령구간인구수,2025년09월_남_0~9세,2025년09월_남_10~19세,2025년09월_남_20~29세,2025년09월_남_30~39세,2025년09월_남_40~49세,2025년09월_남_50~59세,2025년09월_남_60~69세,2025년09월_남_70~79세,2025년09월_남_80~89세,2025년09월_남_90~99세,2025년09월_남_100세 이상,2025년09월_여_총인구수,2025년09월_여_연령구간인구수,2025년09월_여_0~9세,2025년09월_여_10~19세,2025년09월_여_20~29세,2025년09월_여_30~39세,2025년09월_여_40~49세,2025년09월_여_50~59세,2025년09월_여_60~69세,2025년09월_여_70~79세,2025년09월_여_80~89세,2025년09월_여_90~99세,2025년09월_여_100세 이상
충청북도 청주시 ,"857,192","857,192","58,811","84,484","104,141","122,288","130,938","143,030","120,140","59,407","28,854","4,995",104,"433,652","433,652","30,072","43,383","56,302","66,817","67,344","71,329","59,309","27,522","10,389","1,170",15,"423,540","423,540","28,739","41,101","47,839","55,471","63,594","71,701","60,831","31,885","18,465","3,825",89
충청북도 청주시 상당구 ,"196,148","196,148","13,304","19,778","20,529","24,230","29,184","34,161","30,281","15,498","7,833","1,325",25,"97,420","97,420","6,695","10,152","11,034","12,628","14,728","16,836","15,025","7,199","2,816",302,5,"98,728","98,728","6,609","9,626","9,495","11,602","14,456","17,325","15,256","8,299","5,017","1,023",20
충청북도 청주시 상당구 낭성면,"2,091","2,091",36,48,87,115,121,326,636,416,253,52,1,"1,094","1,094",19,24,53,75,73,178,346,214,101,11,0,997,997,17,24,34,40,48,148,290,202,152,41,1
충청북도 청주시 상당구 미원면,"4,513","4,513",68,127,179,236,312,657,"1,356",919,537,120,2,"2,319","2,319",31,64,107,152,192,367,715,479,186,26,0,"2,194","2,194",37,63,72,84,120,290,641,440,351,94,2
충청북도 청주시 상당구 가덕면,"3,625","3,625",43,116,168,190,249,631,"1,116",659,383,70,0,"1,851","1,851",18,62,99,102,138,342,605,337,133,15,0,"1,774","1,774",25,54,69,88,111,289,511,322,250,55,0
충청북도 청주시 상당구 남일면,"6,422","6,422",261,389,523,579,647,"1,102","1,557",792,474,97,1,"3,297","3,297",136,200,325,321,357,561,804,418,162,13,0,"3,125","3,125",125,189,198,258,290,541,753,374,312,84,1
충청북도 청주시 상당구 문의면,"3,512","3,512",38,139,208,153,250,586,946,644,446,101,1,"1,856","1,856",22,82,124,95,157,339,522,326,159,29,1,"1,656","1,656",16,57,84,58,93,247,424,318,287,72,0
충청북도 청주시 상당구 중앙동,"6,351","6,351",296,451,815,890,762,"1,030",958,666,422,59,2,"3,115","3,115",161,224,407,476,398,508,470,292,161,17,1,"3,236","3,236",135,227,408,414,364,522,488,374,261,42,1
충청북도 청주시 상당구 성안동,"6,208","6,208",191,313,647,695,701,"1,011","1,220",872,455,102,1,"3,142","3,142",93,162,324,409,393,547,616,394,173,31,0,"3,066","3,066",98,151,323,286,308,464,604,478,282,71,1
충청북도 청주시 상당구 탑대성동,"11,300","11,300",599,811,"1,215","1,368","1,368","2,023","1,894","1,237",674,108,3,"5,478","5,478",307,379,675,755,690,976,880,529,251,34,2,"5,822","5,822",292,432,540,613,678,"1,047","1,014",708,423,74,1
충청북도 청주시 상당구 영운동,"9,730","9,730",365,686,938,986,"1,224","1,805","1,887","1,156",605,76,2,"4,832","4,832",177,343,500,551,678,939,898,512,217,16,1,"4,898","4,898",188,343,438,435,546,866,989,644,388,60,1
충청북도 청주시 상당구 금천동,"28,932","28,932","1,651","3,297","3,265","2,995","4,410","5,440","4,227","2,370","1,109",166,2,"14,029","14,029",824,"1,716","1,709","1,546","2,150","2,635","1,975","1,012",428,34,0,"14,903","14,903",827,"1,581","1,556","1,449","2,260","2,805","2,252","1,358",681,132,2
충청북도 청주시 상당구 용담.명암.산성동,"12,567","12,567",945,"1,959","1,220","1,182","2,263","2,297","1,540",770,340,49,2,"6,195","6,195",479,988,675,588,"1,060","1,142",766,350,133,14,0,"6,372","6,372",466,971,545,594,"1,203","1,155",774,420,207,35,2
충청북도 청주시 상당구 용암1동,"56,834","56,834","4,416","6,548","6,568","7,954","9,429","9,931","7,444","3,029","1,302",208,5,"28,567","28,567","2,235","3,407","3,502","4,151","4,720","4,908","3,764","1,407",433,40,0,"28,267","28,267","2,181","3,141","3,066","3,803","4,709","5,023","3,680","1,622",869,168,5
충청북도 청주시 상당구 용암2동,"44,063","44,063","4,395","4,894","4,696","6,887","7,448","7,322","5,500","1,968",833,117,3,"21,645","21,645","2,193","2,501","2,534","3,407","3,722","3,394","2,664",929,279,22,0,"22,418","22,418","2,202","2,393","2,162","3,480","3,726","3,928","2,836","1,039",554,95,3
충청북도 청주시 서원구,"180,433","180,433","8,866","16,846","24,162","20,823","24,369","32,737","28,964","15,128","7,299","1,209",30,"90,003","90,003","4,534","8,694","13,061","11,491","12,212","15,972","14,148","6,881","2,716",291,3,"90,430","90,430","4,332","8,152","11,101","9,332","12,157","16,765","14,816","8,247","4,583",918,27
충청북도 청주시 서원구 남이면,"9,661","9,661",420,538,795,972,"1,007","1,938","2,260","1,062",557,109,3,"5,100","5,100",205,270,474,523,571,"1,000","1,263",553,211,29,1,"4,561","4,561",215,268,321,449,436,938,997,509,346,80,2
충청북도 청주시 서원구 현도면,"2,952","2,952",36,84,127,148,208,481,811,538,417,100,2,"1,543","1,543",17,45,67,91,128,283,457,280,156,19,0,"1,409","1,409",19,39,60,57,80,198,354,258,261,81,2
충청북도 청주시 서원구 사직1동,"4,017","4,017",158,250,351,409,504,756,829,470,244,46,0,"2,053","2,053",68,118,190,237,285,393,441,221,84,16,0,"1,964","1,964",90,132,161,172,219,363,388,249,160,30,0
충청북도 청주시 서원구 사직2동,"11,020","11,020",931,"1,207",954,"1,377","1,711","1,678","1,787",920,390,63,2,"5,395","5,395",492,577,504,700,843,788,860,452,166,13,0,"5,625","5,625",439,630,450,677,868,890,927,468,224,50,2
충청북도 청주시 서원구 사창동,"14,201","14,201",403,818,"3,281","2,087","1,639","1,938","1,943","1,356",659,76,1,"7,316","7,316",215,412,"1,721","1,304",924,957,894,583,285,21,0,"6,885","6,885",188,406,"1,560",783,715,981,"1,049",773,374,55,1
충청북도 청주시 서원구 모충동,"16,801","16,801",863,"1,115","2,588","2,373","1,905","2,642","2,859","1,598",747,108,3,"8,403","8,403",429,545,"1,358","1,311","1,043","1,327","1,328",752,282,28,0,"8,398","8,398",434,570,"1,230","1,062",862,"1,315","1,531",846,465,80,3
