시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시상당구,문의면,가-3820-659,중개인,황재춘,문의부동산중개사무소,충청북도 청주시 상당구 문의면 문의시내로 22 
충청북도 청주시상당구,미원면,가-3820-55,중개인,배석헌,청원부동산중개사무소,충청북도 청주시 상당구 미원면 미원초정로 8 
충청북도 청주시상당구,북문로1가,가-38020000-944,중개인,정대용,공원부동산중개인사무소,충청북도 청주시 상당구 사직대로 374 (북문로1가)
충청북도 청주시상당구,수동,나-38020000-49,중개인,이용석,보은부동산중개인사무소,충청북도 청주시 상당구 대성로 200 (수동)
충청북도 청주시상당구,영운동,가-38020000-487,중개인,이응복,신영부동산중개인사무소,충청북도 청주시 상당구 영운로 8 
충청북도 청주시상당구,용담동,가-38020000-2178,공인중개사,임병윤,하당공인중개사사무소,"충청북도 청주시 상당구 수영로 295 302호(용담동, 양화타워)"
충청북도 청주시상당구,용암동,가-38020000-1821,공인중개사,윤동한,강남공인중개사,"충청북도 청주시 상당구 월평로 161 상가 116호(용암동,건영아파트)"
충청북도 청주시상당구,탑동,가-38020000-1947,공인중개사,황주현,우암부동산컨설팅공인중개사사무소,"충청북도 청주시 상당구 중고개로 349 상가 105호(탑동,보성트윈힐스)"
충청북도 청주시상당구,영운동,가-38020000-1976,공인중개사,지동구,한방공인중개사사무소,충청북도 청주시 상당구 수영로101번길 30 (영운동)
충청북도 청주시상당구,영운동,가-38020000-2036,공인중개사,연호선,그린공인중개사사무소,충청북도 청주시 상당구 단재로 131 (영운동)
충청북도 청주시상당구,금천동,가-38020000-2047,공인중개사,신화정,거림공인중개사사무소,충청북도 청주시 상당구 쇠내로 48 금천센트럴파크 스타힐스 301동 108호
충청북도 청주시상당구,용암동,가-38020000-2060,공인중개사,구한서,119공인중개사,"충청북도 청주시 상당구 월평로 203 상가 2동 105호(용암동,형석아파트)"
충청북도 청주시상당구,용암동,가-38020000-2084,공인중개사,박종임,LG공인중개사사무소,충청북도 청주시 상당구 용암북로160번길 57-1 (용암동)
충청북도 청주시상당구,탑동,가-38020000-2201,공인중개사,박명옥,탑동힐데스하임연세공인중개사사무소,충청북도 청주시 상당구 용담로 50 상가2동 120호
충청북도 청주시상당구,금천동,가-38020000-2270,공인중개사,김미순,신성공인중개사사무소,"충청북도 청주시 상당구 호미로 261-1 상가 101호(금천동, 장자마을8단지부영아파트)"
충청북도 청주시상당구,탑동,가-38020000-2283,공인중개사,변은주,新현대공인중개사사무소,"충청북도 청주시 상당구 탑동로 76 상가103호(탑동, 현대아파트)"
충청북도 청주시상당구,영운동,가-38020000-2296,공인중개사,윤창규,까치공인중개사사무소,"충청북도 청주시 상당구 영운천로51번길 35 105호(영운동,태암상가)"
충청북도 청주시상당구,용암동,가-38020000-2303,공인중개사,서은희,가이드공인중개사사무소,"충청북도 청주시 상당구 무농정로 96 상가 103호(용암동,세원아파트)"
충청북도 청주시상당구,용암동,가-38020000-2329,공인중개사,정미자,참조은공인중개사사무소,"충청북도 청주시 상당구 용암로 3 상가 110호(용암동, 덕성그린타운)"
충청북도 청주시상당구,용암동,가-38020000-2335,공인중개사,신갑수,부영공인중개사사무소,"충청북도 청주시 상당구 중흥로 175 상가 106호(용암동, 중흥마을1단지부영아파트)"
충청북도 청주시상당구,금천동,가-38020000-2346,공인중개사,노성우,하나공인중개사사무소,"충청북도 청주시 상당구 중고개로 286-1 상가 105호(금천동, 장자마을9단지부영아파트)"
충청북도 청주시상당구,금천동,가-38020000-2362,공인중개사,배용현,홍인공인중개사사무소,충청북도 청주시 상당구 쇠내로74번길 3-13 (금천동)
충청북도 청주시상당구,용암동,가-38020000-2378,공인중개사,박금옥,건영공인중개사사무소,"충청북도 청주시 상당구 월평로 161 상가 117호(용암동, 건영아파트)"
충청북도 청주시상당구,탑동,가-38020000-2391,공인중개사,박윤희,미소랜드공인중개사사무소,충청북도 청주시 상당구 용담로63번길 42 102호(탑동)
충청북도 청주시상당구,용암동,가-38020000-2429,공인중개사,김영미,다원공인중개사사무소,"충청북도 청주시 상당구 무농정로 96 상가 109호(용암동,세원아파트)"
충청북도 청주시상당구,용암동,가-38020000-2434,공인중개사,이국향,한성공인중개사사무소,"충청북도 청주시 상당구 월평로 203 상가 106호(용암동, 형석아파트)"
충청북도 청주시상당구,북문로1가,가-38020000-2454,공인중개사,황보윤,큰산공인중개사사무소,충청북도 청주시 상당구 성안로 19-1 지하(북문로1가)
충청북도 청주시상당구,용암동,가-38020000-2456,공인중개사,박미숙,금빛공인중개사사무소,충청북도 청주시 상당구 원봉로 84 상가 102호(용암동)
충청북도 청주시상당구,금천동,가-38020000-2457,공인중개사,박양득,모아공인중개사사무소,"충청북도 청주시 상당구 호미로 292 상가 104호(금천동,장자마을부영아파트1단지)"
충청북도 청주시상당구,서문동,가-38020000-2467,공인중개사,유길환,으뜸공인중개사사무소,충청북도 청주시 상당구 무심동로 396 (서문동)
충청북도 청주시상당구,금천동,가-38020000-2526,공인중개사,이각규,주성공인중개사사무소,충청북도 청주시 상당구 수영로245번길 4-8 204호(금천동)
충청북도 청주시상당구,용암동,가-38020000-2553,공인중개사,신권철,천지공인중개사사무소,"충청북도 청주시 상당구 월평로 225 상가 102호(용암동, 효성아파트)"
충청북도 청주시상당구,용암동,가-38020000-2555,공인중개사,정길채,만금공인중개사사무소,"충청북도 청주시 상당구 중흥로 194 상가 109호(용암동,중흥마을2단지부영아파트)"
